project_id,title,domain,skills,interests,difficulty,duration,description
P001,House Price Prediction,Machine Learning,"Scikit-learn, NumPy, NLTK, SQL",Machine Learning,Beginner,8 Weeks,House Price Prediction using Artificial Intelligence and Machine Learning techniques.
P002,Student Performance Prediction,Machine Learning,"NLTK, Pandas, PyTorch, Python",Machine Learning,Beginner,5 Weeks,Student Performance Prediction using Artificial Intelligence and Machine Learning techniques.
P003,Customer Churn Prediction,Machine Learning,"PyTorch, Pandas, Scikit-learn, NumPy",Machine Learning,Beginner,3 Weeks,Customer Churn Prediction using Artificial Intelligence and Machine Learning techniques.
P004,Sales Forecasting,Machine Learning,"NumPy, PyTorch, SQL, Pandas",Machine Learning,Intermediate,5 Weeks,Sales Forecasting using Artificial Intelligence and Machine Learning techniques.
P005,Loan Approval Prediction,Machine Learning,"spaCy, OpenCV, Scikit-learn, PyTorch",Machine Learning,Advanced,6 Weeks,Loan Approval Prediction using Artificial Intelligence and Machine Learning techniques.
P006,Insurance Premium Prediction,Machine Learning,"NLTK, Scikit-learn, PyTorch, Pandas",Machine Learning,Intermediate,8 Weeks,Insurance Premium Prediction using Artificial Intelligence and Machine Learning techniques.
P007,Employee Attrition Prediction,Machine Learning,"SQL, OpenCV, Pandas, spaCy",Machine Learning,Advanced,6 Weeks,Employee Attrition Prediction using Artificial Intelligence and Machine Learning techniques.
P008,Stock Price Prediction,Machine Learning,"SQL, Python, Pandas, NumPy",Machine Learning,Advanced,2 Weeks,Stock Price Prediction using Artificial Intelligence and Machine Learning techniques.
P009,Movie Recommendation System,Machine Learning,"OpenCV, PyTorch, Flask, TensorFlow",Machine Learning,Beginner,4 Weeks,Movie Recommendation System using Artificial Intelligence and Machine Learning techniques.
P010,Music Recommendation System,Machine Learning,"NumPy, Flask, Scikit-learn, SQL",Machine Learning,Beginner,6 Weeks,Music Recommendation System using Artificial Intelligence and Machine Learning techniques.
P011,Fake News Detection,Natural Language Processing,"PyTorch, OpenCV, NLTK, Python",Natural Language Processing,Intermediate,5 Weeks,Fake News Detection using Artificial Intelligence and Machine Learning techniques.
P012,Resume Screening System,Natural Language Processing,"NLTK, Pandas, Flask, NumPy",Natural Language Processing,Beginner,2 Weeks,Resume Screening System using Artificial Intelligence and Machine Learning techniques.
P013,Medical Chatbot,Natural Language Processing,"TensorFlow, PyTorch, Pandas, spaCy",Natural Language Processing,Beginner,5 Weeks,Medical Chatbot using Artificial Intelligence and Machine Learning techniques.
P014,College Query Chatbot,Natural Language Processing,"NumPy, Flask, Python, spaCy",Natural Language Processing,Intermediate,2 Weeks,College Query Chatbot using Artificial Intelligence and Machine Learning techniques.
P015,Spam Email Detection,Natural Language Processing,"TensorFlow, PyTorch, Python, Scikit-learn",Natural Language Processing,Advanced,6 Weeks,Spam Email Detection using Artificial Intelligence and Machine Learning techniques.
P016,Sentiment Analysis,Natural Language Processing,"NumPy, Python, Pandas, spaCy",Natural Language Processing,Beginner,8 Weeks,Sentiment Analysis using Artificial Intelligence and Machine Learning techniques.
P017,Language Translator,Natural Language Processing,"spaCy, Pandas, SQL, Scikit-learn",Natural Language Processing,Beginner,6 Weeks,Language Translator using Artificial Intelligence and Machine Learning techniques.
P018,Grammar Checker,Natural Language Processing,"TensorFlow, NLTK, Python, PyTorch",Natural Language Processing,Beginner,5 Weeks,Grammar Checker using Artificial Intelligence and Machine Learning techniques.
P019,Text Summarizer,Natural Language Processing,"NLTK, PyTorch, Pandas, TensorFlow",Natural Language Processing,Advanced,5 Weeks,Text Summarizer using Artificial Intelligence and Machine Learning techniques.
P020,AI Email Generator,Natural Language Processing,"spaCy, Flask, Python, NLTK",Natural Language Processing,Advanced,2 Weeks,AI Email Generator using Artificial Intelligence and Machine Learning techniques.
P021,Face Recognition System,Computer Vision,"TensorFlow, Flask, OpenCV, Pandas",Computer Vision,Intermediate,8 Weeks,Face Recognition System using Artificial Intelligence and Machine Learning techniques.
P022,Face Mask Detection,Computer Vision,"Scikit-learn, OpenCV, NLTK, Flask",Computer Vision,Intermediate,6 Weeks,Face Mask Detection using Artificial Intelligence and Machine Learning techniques.
P023,Vehicle Detection,Computer Vision,"Scikit-learn, SQL, OpenCV, NLTK",Computer Vision,Intermediate,2 Weeks,Vehicle Detection using Artificial Intelligence and Machine Learning techniques.
P024,Fire Detection,Computer Vision,"spaCy, PyTorch, Pandas, NLTK",Computer Vision,Intermediate,3 Weeks,Fire Detection using Artificial Intelligence and Machine Learning techniques.
P025,Traffic Sign Recognition,Computer Vision,"PyTorch, Python, Flask, Pandas",Computer Vision,Beginner,3 Weeks,Traffic Sign Recognition using Artificial Intelligence and Machine Learning techniques.
P026,Number Plate Detection,Computer Vision,"Flask, NumPy, Scikit-learn, Python",Computer Vision,Advanced,3 Weeks,Number Plate Detection using Artificial Intelligence and Machine Learning techniques.
P027,Hand Gesture Recognition,Computer Vision,"spaCy, Pandas, SQL, PyTorch",Computer Vision,Beginner,6 Weeks,Hand Gesture Recognition using Artificial Intelligence and Machine Learning techniques.
P028,Image Caption Generator,Computer Vision,"Python, OpenCV, NLTK, TensorFlow",Computer Vision,Advanced,3 Weeks,Image Caption Generator using Artificial Intelligence and Machine Learning techniques.
P029,Human Pose Detection,Computer Vision,"NLTK, Pandas, Scikit-learn, spaCy",Computer Vision,Beginner,2 Weeks,Human Pose Detection using Artificial Intelligence and Machine Learning techniques.
P030,Plant Disease Detection,Computer Vision,"SQL, Flask, Python, NumPy",Computer Vision,Beginner,3 Weeks,Plant Disease Detection using Artificial Intelligence and Machine Learning techniques.
P031,Heart Disease Prediction,Healthcare,"Python, Flask, NLTK, SQL",Healthcare,Beginner,4 Weeks,Heart Disease Prediction using Artificial Intelligence and Machine Learning techniques.
P032,Diabetes Prediction,Healthcare,"SQL, Flask, spaCy, NumPy",Healthcare,Beginner,6 Weeks,Diabetes Prediction using Artificial Intelligence and Machine Learning techniques.
P033,Brain Tumor Detection,Healthcare,"Scikit-learn, PyTorch, Flask, OpenCV",Healthcare,Intermediate,6 Weeks,Brain Tumor Detection using Artificial Intelligence and Machine Learning techniques.
P034,Medical Report Analyzer,Healthcare,"NLTK, PyTorch, Flask, spaCy",Healthcare,Advanced,6 Weeks,Medical Report Analyzer using Artificial Intelligence and Machine Learning techniques.
P035,Hospital Management AI,Healthcare,"spaCy, SQL, Pandas, NumPy",Healthcare,Advanced,3 Weeks,Hospital Management AI using Artificial Intelligence and Machine Learning techniques.
P036,Skin Disease Detection,Healthcare,"NLTK, PyTorch, spaCy, Pandas",Healthcare,Intermediate,6 Weeks,Skin Disease Detection using Artificial Intelligence and Machine Learning techniques.
P037,Medicine Recommendation,Healthcare,"NumPy, spaCy, Scikit-learn, Python",Healthcare,Advanced,8 Weeks,Medicine Recommendation using Artificial Intelligence and Machine Learning techniques.
P038,AI Health Assistant,Healthcare,"Pandas, SQL, NumPy, PyTorch",Healthcare,Beginner,3 Weeks,AI Health Assistant using Artificial Intelligence and Machine Learning techniques.
P039,Disease Prediction System,Healthcare,"Scikit-learn, PyTorch, spaCy, NLTK",Healthcare,Advanced,5 Weeks,Disease Prediction System using Artificial Intelligence and Machine Learning techniques.
P040,Medical Image Classification,Healthcare,"OpenCV, spaCy, PyTorch, Flask",Healthcare,Advanced,6 Weeks,Medical Image Classification using Artificial Intelligence and Machine Learning techniques.
P041,Credit Card Fraud Detection,Finance,"TensorFlow, NLTK, Pandas, Flask",Finance,Intermediate,3 Weeks,Credit Card Fraud Detection using Artificial Intelligence and Machine Learning techniques.
P042,Expense Tracker,Finance,"Scikit-learn, Python, NumPy, SQL",Finance,Beginner,6 Weeks,Expense Tracker using Artificial Intelligence and Machine Learning techniques.
P043,Loan Eligibility Checker,Finance,"Pandas, Python, SQL, NLTK",Finance,Intermediate,5 Weeks,Loan Eligibility Checker using Artificial Intelligence and Machine Learning techniques.
P044,Stock Market Dashboard,Finance,"OpenCV, PyTorch, spaCy, TensorFlow",Finance,Intermediate,3 Weeks,Stock Market Dashboard using Artificial Intelligence and Machine Learning techniques.
P045,Personal Finance Assistant,Finance,"OpenCV, Scikit-learn, Pandas, Flask",Finance,Advanced,4 Weeks,Personal Finance Assistant using Artificial Intelligence and Machine Learning techniques.
P046,Fraud Transaction Detection,Finance,"SQL, Flask, Scikit-learn, spaCy",Finance,Beginner,6 Weeks,Fraud Transaction Detection using Artificial Intelligence and Machine Learning techniques.
P047,Budget Prediction,Finance,"Scikit-learn, Pandas, NLTK, PyTorch",Finance,Advanced,8 Weeks,Budget Prediction using Artificial Intelligence and Machine Learning techniques.
P048,Investment Advisor,Finance,"Flask, Scikit-learn, TensorFlow, NumPy",Finance,Intermediate,2 Weeks,Investment Advisor using Artificial Intelligence and Machine Learning techniques.
P049,Bank Customer Segmentation,Finance,"PyTorch, OpenCV, Pandas, Scikit-learn",Finance,Intermediate,3 Weeks,Bank Customer Segmentation using Artificial Intelligence and Machine Learning techniques.
P050,Risk Analysis System,Finance,"SQL, NLTK, TensorFlow, OpenCV",Finance,Beginner,6 Weeks,Risk Analysis System using Artificial Intelligence and Machine Learning techniques.
P051,AI Study Planner,Education,"OpenCV, Pandas, spaCy, Flask",Education,Advanced,4 Weeks,AI Study Planner using Artificial Intelligence and Machine Learning techniques.
